Kod sklepu;Kod segmentu;Data od;Data do;Nazwa planogramu;Wersja planogramu;Opis planogramu;Numer półki;Pozycja;Index;Nazwa;Liczba twarzy;Sposób ekspozycji
Text;Int;Text;Text;Text;Text;Text;Int;Int;Text;Text;Int;Int
shop_planogram_assignment.shop.codes;shop_planogram_assignment.segment.id;shop_planogram_assignment.start_date_time;shop_planogram_assignment.end_date_time;planogram.name;planogram.version;planogram.description;planogram_element.shelf;planogram_element.position;planogram_element.sku.index;planogram_element.sku.name;planogram_element.faces_count;planogram_element.stack_count
Z0810;3;2019-11-20 00:00:00;2019-12-20 00:00:00;T23_DG_szybkie przekaski_1.0_7; 0007;;1;84;12002255;OLIWKI ZIELONE W ZIOŁACH 90G MW;1;1
Z0810;3;2019-11-20 00:00:00;2019-12-20 00:00:00;T23_DG_szybkie przekaski_1.0_7; 0007;;1;85;12004137;OLIWKI ZIELONE CHILLI 90G MW;1;1
Z0810;3;2019-11-20 00:00:00;2019-12-20 00:00:00;T23_DG_szybkie przekaski_1.0_7; 0007;;1;86;12002214;SAŁATKA KUSKUS Z HUMMUSEM 180G MW;1;1
Z0810;3;2019-11-20 00:00:00;2019-12-20 00:00:00;T23_DG_szybkie przekaski_1.0_7; 0007;;1;87;12002257;SAŁATKA BULGUR Z HUMMUSEM 180G MW;1;1
Z0810;3;2019-11-20 00:00:00;2019-12-20 00:00:00;T23_DG_szybkie przekaski_1.0_7; 0007;;1;88;12004621;SAŁATKA PROTEINOWA QUINOA DK 180G MW;1;1
Z0810;3;2019-11-20 00:00:00;2019-12-20 00:00:00;T23_DG_szybkie przekaski_1.0_7; 0007;;1;89;12005249;SAŁATKA AL DENTE SUSZ.POM. 150G LISNER;1;1
Z0810;3;2019-11-20 00:00:00;2019-12-20 00:00:00;T23_DG_szybkie przekaski_1.0_7; 0007;;1;90;12005257;SAŁATKA AL DENTE KURCZ. BROK.150G LISNER;1;1
Z0810;3;2019-11-20 00:00:00;2019-12-20 00:00:00;T23_DG_szybkie przekaski_1.0_7; 0007;;1;91;10988803;SAŁATKA AMERYKAŃSKA TO GO 200G GRZEŚK.;1;1
Z0810;3;2019-11-20 00:00:00;2019-12-20 00:00:00;T23_DG_szybkie przekaski_1.0_7; 0007;;1;92;12000764;SAŁATKA BULGUR CIEC. POMIDOR 200G GRZE...;1;1
Z0810;3;2019-11-20 00:00:00;2019-12-20 00:00:00;T23_DG_szybkie przekaski_1.0_7; 0007;;1;93;20000243;SUSHI ŚWIEŻE 1 REG;1;1
Z0810;3;2019-11-20 00:00:00;2019-12-20 00:00:00;T23_DG_szybkie przekaski_1.0_7; 0007;;2;74;12004462;SAŁATKA SHAKER MOZZARELLA PESTO 130G ...;1;1
Z0810;3;2019-11-20 00:00:00;2019-12-20 00:00:00;T23_DG_szybkie przekaski_1.0_7; 0007;;2;75;12004478;SAŁATKA SHAKER KASZA KURCZAK DK 150G M...;1;1
Z0810;3;2019-11-20 00:00:00;2019-12-20 00:00:00;T23_DG_szybkie przekaski_1.0_7; 0007;;2;76;12004179;SNACKI WARZYWA & HUMMUS DK 230G MW;1;1
Z0810;3;2019-11-20 00:00:00;2019-12-20 00:00:00;T23_DG_szybkie przekaski_1.0_7; 0007;;2;77;12002247;HUMMUS KLASYCZNY/PAPRYKOWY MIX 110G ...;1;1
Z0810;3;2019-11-20 00:00:00;2019-12-20 00:00:00;T23_DG_szybkie przekaski_1.0_7; 0007;;2;78;12004510;HUMMUS Z FA^FELEM 220G MW;1;1
Z0810;3;2019-11-20 00:00:00;2019-12-20 00:00:00;T23_DG_szybkie przekaski_1.0_7; 0007;;2;79;12005502;ONIGIRI TUŃCZYK PREMIUM 120G;1;1
Z0810;3;2019-11-20 00:00:00;2019-12-20 00:00:00;T23_DG_szybkie przekaski_1.0_7; 0007;;2;80;12004301;ONIGIRI ŁOSOŚ PREMIUM 120G;1;1
Z0810;3;2019-11-20 00:00:00;2019-12-20 00:00:00;T23_DG_szybkie przekaski_1.0_7; 0007;;2;81;12004417;SUSHIBOX PREMIUM TOKYO TEY 245G;1;1
Z0810;3;2019-11-20 00:00:00;2019-12-20 00:00:00;T23_DG_szybkie przekaski_1.0_7; 0007;;2;82;12000348;SUSHI KATSUMI 420G;1;1
Z0810;3;2019-11-20 00:00:00;2019-12-20 00:00:00;T23_DG_szybkie przekaski_1.0_7; 0007;;2;83;12000355;SUSHI NORIKO 225G;1;1
